"reviewScope","spanish","chinese","lemma","partOfSpeech","level","scene","kind","routes","lifePlacements","frequencyRank","frameworkReference","example","exampleChinese","sourceName","sourceUrl","spellingStatus","spanishNaturalnessStatus","chineseMeaningStatus","exampleStatus","levelStatus","lifeTierStatus","decision","suggestedSpanish","suggestedChinese","suggestedExample","reviewNotes","reviewerName","reviewerRole","reviewedAt"
"life:supermarket:L1","comprar","购买","comprar","verb","A1","日常","动词原形","exam|life","supermarket:L1:free|daily:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Voy a comprar fruta y leche.","我要买水果和牛奶。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:supermarket:L1","necesitar","需要","necesitar","verb","A1","日常","动词原形","exam|life","supermarket:L1:free|daily:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Voy a necesitar medio kilo de tomates.","我需要半公斤西红柿。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:supermarket:L1","acelga","牛皮菜；莙荙菜","acelga","noun","A1","餐厅","单词","life|exam","supermarket:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Las acelgas frescas están en la frutería.","新鲜牛皮菜在果蔬区。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L1","caldo","高汤；汤底","caldo","noun","A1","餐厅","单词","life|exam","supermarket:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Este caldo de pollo lleva poca sal.","这款鸡汤底含盐较少。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L2","aceite de cacahuete","花生油","aceite de cacahuete","noun","A2","餐厅","单词","life","supermarket:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Busco aceite de cacahuete para cocinar.","我在找烹饪用花生油。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L2","acondicionador","护发素","acondicionador","noun","A2","购物","单词","life|exam","supermarket:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El acondicionador está al lado del champú.","护发素在洗发水旁边。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L2","aceite de chile","辣椒油；红油","aceite de chile","noun","A2","餐厅","单词","life","supermarket:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Este aceite de chile es muy picante.","这款辣椒油很辣。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L2","bastoncillo de algodón","棉签","bastoncillo de algodón","noun","A2","购物","单词","life|exam","supermarket:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Necesito una caja de bastoncillos de algodón.","我需要一盒棉签。","Vida 超市任务词库 · 西班牙官方、零售与 PCIC 用语核对","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/VIDA_SUPERMARKET.md","","","","","","","","","","","","","",""
"life:supermarket:L3","bajar el precio","降低价格","bajar el precio","fixed-expression","B1","购物","短语","exam|life","supermarket:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Decidieron bajar el precio al final de la temporada.","他们决定在季末降低价格。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:supermarket:L3","comprar por internet","网上购物","comprar por internet","fixed-expression","B1","购物","短语","exam|life","supermarket:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Prefiero comprar por internet cuando comparo precios.","比较价格时，我更喜欢网上购物。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
